  PID TTY           TIME CMD
 3283 ??         0:00.87 /System/Library/Frameworks/CoreSpotlight.framework/CoreSpotlightService
 3355 ??         0:04.31 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
 3379 ??         0:01.21 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
 3380 ??         0:01.69 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
 3426 ??         0:14.88 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
 3427 ??         0:02.73 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
 3428 ??         0:00.49 /System/Library/CoreServices/ScopedBookmarkAgent
 3864 ??         0:00.00 /usr/bin/script -t 0 /dev/null xcrun xcdevice observe --both
 4696 ??         0:00.00 /usr/bin/script -t 0 /dev/null xcrun xcdevice observe --both
 5585 ??         0:00.63 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
 5754 ??         0:00.07 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
 6071 ??         0:05.04 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
 6094 ??         0:00.68 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 6095 ??         0:00.18 /usr/libexec/replayd
 6111 ??         0:00.16 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
 7118 ??         0:00.14 /usr/libexec/silhouette
 7284 ??         0:00.20 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
 7285 ??         0:00.26 /System/Library/PrivateFrameworks/PodcastServices.framework/XPCServices/PodcastContentService.xpc/Contents/MacOS/PodcastContentService
 7286 ??         0:00.27 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
 7289 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 7290 ??         0:00.16 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent --launchd
 7797 ??         0:00.01 /Library/Frameworks/Python.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python worker.py start
 7901 ??         0:10.35 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
 7902 ??         0:00.62 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
 7928 ??         0:00.09 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
 8460 ??         0:01.29 /Users/out-egorov-id/Documents/flutter/bin/cache/dart-sdk/bin/dart /Users/out-egorov-id/Documents/flutter/bin/cache/dart-sdk/bin/snapshots/pub.dart.snapshot global run devtools --machine --try-ports 10 --allow-embedding
 8929 ??         0:00.00 /usr/bin/script -t 0 /dev/null xcrun xcdevice observe --both
10242 ??         0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
10547 ??         0:00.33 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
10548 ??         0:00.37 /Library/Apple/System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
10722 ??         0:02.49 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
10770 ??         0:00.31 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
11083 ??         0:00.01 /usr/libexec/ApplicationFirewall/Firewall
13072 ??        18:28.64 /private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --disable-color-correct-rendering --field-trial-handle=1718379636,6544996704379395198,5239207285936786143,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ru --standard-schemes=vscode-webview,vscode-webview-resource,vscode-file --secure-schemes=vscode-webview,vscode-webview-resource,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource,vscode-file --fetch-schemes=vscode-webview,vscode-webview-resource,vscode-file --service-worker-schemes --streaming-schemes --app-path=/private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Resources/app --node-integration --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#171717 --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=33 --no-v8-untrusted-code-mitigations --shared-files
13088 ??         0:16.96 /private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --inspect-port=0 /private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork --type=extensionHost
13102 ??         0:02.31 /private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) /private/var/folders/zm/7jmg4rps11dbrsm0wg53cl040000gq/T/AppTranslocation/E1A95EBE-0553-48EE-A16B-56DFB03C4BC6/d/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork --type=watcherService
14309 ??         0:00.06 /System/Library/SystemConfiguration/EAPOLController.bundle/Contents/Resources/eapolclient -i en0 -u 503 -g 20
14333 ??         0:45.64 /opt/cisco/anyconnect/bin/aciseposture --fullposture
15303 ??         0:02.94 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
15304 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
15720 ??         0:03.23 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
